Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
6.882241E-3,9.083412E-3,23.015623
6.898320E-3,7.431888E-3,22.842712
6.914400E-3,8.257659E-3,22.929169
6.930480E-3,10.322050E-3,23.145306
6.946560E-3,8.670544E-3,22.972397
6.962640E-3,8.670544E-3,22.972397
6.978720E-3,9.083412E-3,23.015623
6.994800E-3,8.670544E-3,22.972397
7.010880E-3,7.431888E-3,22.842712
7.026961E-3,7.431888E-3,22.842712
7.043040E-3,8.257659E-3,22.929169
7.059121E-3,8.257659E-3,22.929169
7.075200E-3,10.322050E-3,23.145306
7.091281E-3,8.257659E-3,22.929169
7.107360E-3,9.496298E-3,23.058851
7.123441E-3,9.496298E-3,23.058851
7.139520E-3,7.844754E-3,22.885939
7.155600E-3,8.257659E-3,22.929169
7.171680E-3,9.083412E-3,23.015623
7.187760E-3,12.799365E-3,23.404675
7.203841E-3,12.799365E-3,23.404675
7.219920E-3,9.496298E-3,23.058851
7.236001E-3,6.193249E-3,22.713030
7.252080E-3,6.606134E-3,22.756258
7.268161E-3,7.431888E-3,22.842712
7.284240E-3,11.973593E-3,23.318218
7.300321E-3,11.560707E-3,23.274990
7.316400E-3,11.147840E-3,23.231764
7.332481E-3,8.670544E-3,22.972397
7.348560E-3,9.083412E-3,23.015623
7.364640E-3,8.670544E-3,22.972397
7.380720E-3,9.083412E-3,23.015623
7.396800E-3,9.083412E-3,23.015623
7.412881E-3,7.431888E-3,22.842712
7.428960E-3,8.670544E-3,22.972397
7.445041E-3,10.734955E-3,23.188536
7.461120E-3,11.560707E-3,23.274990
7.477201E-3,7.431888E-3,22.842712
7.493280E-3,8.670544E-3,22.972397
7.509361E-3,9.083412E-3,23.015623
7.525440E-3,9.496298E-3,23.058851
7.541521E-3,7.844754E-3,22.885939
7.557600E-3,7.844754E-3,22.885939
7.573680E-3,11.147840E-3,23.231764
7.589760E-3,8.670544E-3,22.972397
7.605840E-3,5.367477E-3,22.626574
7.621921E-3,7.844754E-3,22.885939
7.638000E-3,9.909165E-3,23.102077
7.654081E-3,7.019002E-3,22.799484
7.670160E-3,7.431888E-3,22.842712
7.686241E-3,9.909165E-3,23.102077
7.702320E-3,9.083412E-3,23.015623
7.718401E-3,6.193249E-3,22.713030
7.734480E-3,7.019002E-3,22.799484
7.750561E-3,7.844754E-3,22.885939
7.766640E-3,10.734955E-3,23.188536
7.782720E-3,11.973593E-3,23.318218
7.798800E-3,8.670544E-3,22.972397
7.814880E-3,10.734955E-3,23.188536
7.830961E-3,7.844754E-3,22.885939
7.847041E-3,4.954591E-3,22.583345
7.863120E-3,6.606134E-3,22.756258
7.879200E-3,8.670544E-3,22.972397
7.895281E-3,10.322050E-3,23.145306
7.911361E-3,10.734955E-3,23.188536
7.927440E-3,9.496298E-3,23.058851
7.943520E-3,9.909165E-3,23.102077
7.959601E-3,9.909165E-3,23.102077
7.975681E-3,9.083412E-3,23.015623
7.991760E-3,7.019002E-3,22.799484
8.007840E-3,9.496298E-3,23.058851
8.023920E-3,9.083412E-3,23.015623
8.040001E-3,8.670544E-3,22.972397
8.056081E-3,8.670544E-3,22.972397
8.072160E-3,7.844754E-3,22.885939
8.088240E-3,10.322050E-3,23.145306
8.104321E-3,7.844754E-3,22.885939
8.120401E-3,7.431888E-3,22.842712
8.136480E-3,5.367477E-3,22.626574
8.152560E-3,10.734955E-3,23.188536
8.168641E-3,10.322050E-3,23.145306
8.184721E-3,9.496298E-3,23.058851
8.200800E-3,9.496298E-3,23.058851
8.216880E-3,9.083412E-3,23.015623
8.232960E-3,8.257659E-3,22.929169
8.249041E-3,7.019002E-3,22.799484
8.265121E-3,5.780381E-3,22.669804
8.281200E-3,7.431888E-3,22.842712
8.297280E-3,10.322050E-3,23.145306
8.313361E-3,8.670544E-3,22.972397
8.329441E-3,8.670544E-3,22.972397
8.345520E-3,8.670544E-3,22.972397
8.361600E-3,9.909165E-3,23.102077
8.377681E-3,6.193249E-3,22.713030
8.393761E-3,9.083412E-3,23.015623
8.409840E-3,12.799365E-3,23.404675
8.425920E-3,9.083412E-3,23.015623
8.442000E-3,11.560707E-3,23.274990
8.458081E-3,10.322050E-3,23.145306
8.474161E-3,5.367477E-3,22.626574
8.490240E-3,6.606134E-3,22.756258
8.506320E-3,9.083412E-3,23.015623
8.522401E-3,8.257659E-3,22.929169
8.538481E-3,9.909165E-3,23.102077
8.554560E-3,9.909165E-3,23.102077
8.570640E-3,7.844754E-3,22.885939
8.586721E-3,8.257659E-3,22.929169
8.602801E-3,8.670544E-3,22.972397
8.618880E-3,9.083412E-3,23.015623
8.634960E-3,8.257659E-3,22.929169
8.651040E-3,7.844754E-3,22.885939
8.667121E-3,7.019002E-3,22.799484
8.683201E-3,7.844754E-3,22.885939
8.699280E-3,10.322050E-3,23.145306
8.715360E-3,7.019002E-3,22.799484
8.731441E-3,6.606134E-3,22.756258
8.747521E-3,9.083412E-3,23.015623
8.763600E-3,7.844754E-3,22.885939
8.779680E-3,7.431888E-3,22.842712
8.795761E-3,9.909165E-3,23.102077
8.811841E-3,9.496298E-3,23.058851
8.827920E-3,8.257659E-3,22.929169
8.844000E-3,7.844754E-3,22.885939
8.860081E-3,7.844754E-3,22.885939
8.876161E-3,7.431888E-3,22.842712
8.892241E-3,9.909165E-3,23.102077
8.908320E-3,7.844754E-3,22.885939
8.924400E-3,10.734955E-3,23.188536
8.940481E-3,8.257659E-3,22.929169
8.956561E-3,7.019002E-3,22.799484
8.972640E-3,6.193249E-3,22.713030
8.988720E-3,6.606134E-3,22.756258
9.004801E-3,7.844754E-3,22.885939
9.020881E-3,8.670544E-3,22.972397
9.036960E-3,8.670544E-3,22.972397
9.053040E-3,9.909165E-3,23.102077
9.069121E-3,9.496298E-3,23.058851
9.085201E-3,7.431888E-3,22.842712
9.101281E-3,8.670544E-3,22.972397
9.117360E-3,9.083412E-3,23.015623
9.133440E-3,4.954591E-3,22.583345
9.149521E-3,7.019002E-3,22.799484
9.165601E-3,9.496298E-3,23.058851
9.181680E-3,9.083412E-3,23.015623
9.197760E-3,10.322050E-3,23.145306
9.213841E-3,8.257659E-3,22.929169
9.229921E-3,9.496298E-3,23.058851
9.246000E-3,7.431888E-3,22.842712
9.262080E-3,3.715971E-3,22.453665
9.278161E-3,6.193249E-3,22.713030
9.294241E-3,11.147840E-3,23.231764
9.310321E-3,9.496298E-3,23.058851
9.326400E-3,7.844754E-3,22.885939
9.342480E-3,7.431888E-3,22.842712
9.358561E-3,7.019002E-3,22.799484
9.374641E-3,6.606134E-3,22.756258
9.390720E-3,7.844754E-3,22.885939
9.406800E-3,9.083412E-3,23.015623
9.422881E-3,9.083412E-3,23.015623
9.438961E-3,8.257659E-3,22.929169
9.455040E-3,6.193249E-3,22.713030
9.471120E-3,6.606134E-3,22.756258
9.487201E-3,7.844754E-3,22.885939
9.503281E-3,7.019002E-3,22.799484
9.519361E-3,8.257659E-3,22.929169
9.535440E-3,10.322050E-3,23.145306
9.551520E-3,7.431888E-3,22.842712
9.567601E-3,9.909165E-3,23.102077
9.583681E-3,6.193249E-3,22.713030
9.599760E-3,7.431888E-3,22.842712
9.615840E-3,9.909165E-3,23.102077
9.631921E-3,7.019002E-3,22.799484
9.648001E-3,6.606134E-3,22.756258
9.664080E-3,11.560707E-3,23.274990
9.680160E-3,9.496298E-3,23.058851
9.696241E-3,6.193249E-3,22.713030
9.712321E-3,7.431888E-3,22.842712
9.728401E-3,9.909165E-3,23.102077
9.744480E-3,7.844754E-3,22.885939
9.760560E-3,5.780381E-3,22.669804
9.776641E-3,5.780381E-3,22.669804
9.792721E-3,10.322050E-3,23.145306
9.808800E-3,9.909165E-3,23.102077
9.824880E-3,10.322050E-3,23.145306
9.840961E-3,7.431888E-3,22.842712
9.857041E-3,7.019002E-3,22.799484
9.873120E-3,5.780381E-3,22.669804
9.889200E-3,4.541724E-3,22.540119
9.905281E-3,8.257659E-3,22.929169
9.921361E-3,10.322050E-3,23.145306
9.937441E-3,9.083412E-3,23.015623
9.953520E-3,8.257659E-3,22.929169
9.969600E-3,6.193249E-3,22.713030
9.985681E-3,5.367477E-3,22.626574
10.001761E-3,5.780381E-3,22.669804
10.017840E-3,9.496298E-3,23.058851
10.033920E-3,7.844754E-3,22.885939
10.050001E-3,6.193249E-3,22.713030
10.066081E-3,8.257659E-3,22.929169
10.082160E-3,5.780381E-3,22.669804
10.098240E-3,4.128838E-3,22.496891
10.114321E-3,7.019002E-3,22.799484
10.130401E-3,8.257659E-3,22.929169
10.146481E-3,7.844754E-3,22.885939
10.162560E-3,10.734955E-3,23.188536
10.178640E-3,8.257659E-3,22.929169
10.194721E-3,8.257659E-3,22.929169
10.210801E-3,6.193249E-3,22.713030
